Protein,Label,log2FC,SE,DF,pvalue,adj.pvalue,issue
B0I1T2,ctrlH-Norm,-0.184262732013341,0.322281446548195,20.6051782208443,0.57367978411797,0.999843706217135,NA
B0I1T2,M-Norm,-0.127138764943627,0.263141699203043,20.6051782208443,0.63407831443337,0.99768989811509,NA
B2RTY4,ctrlH-M,0.886968879455766,0.489065699080658,15.6377358337034,0.0889751182051218,0.933647425157431,NA
B2RTY4,ctrlH-Norm,0.780636479481885,0.500204201466178,15.6051775885137,0.138657997008845,0.999843706217135,NA
B2RTY4,M-Norm,-0.106332399973881,0.394694620724825,15.6549982114405,0.791137189238379,0.99768989811509,NA
C4AMC7;Q6VEQ5,ctrlH-M,-0.182158442360199,0.301969607355127,10.605176955788,0.559032807948266,0.960118184008086,NA
C4AMC7;Q6VEQ5,ctrlH-Norm,0.2766720165106,0.301969607355127,10.605176955788,0.379912013624775,0.999843706217135,NA
C4AMC7;Q6VEQ5,M-Norm,0.458830458870799,0.246557151949549,10.605176955788,0.0906761257537636,0.99768989811509,NA
C9JE40,ctrlH-M,-0.272395662883001,0.516000306253409,10.605176955788,0.608437840430755,0.966667122357415,NA
C9JE40,ctrlH-Norm,-0.587965328790251,0.516000306253409,10.605176955788,0.279591265155687,0.999843706217135,NA
C9JE40,M-Norm,-0.31556966590725,0.421312485813568,10.605176955788,0.470135115639909,0.99768989811509,NA
C9JLW8,ctrlH-M,0.748390127857423,0.913675910858632,20.6051765104054,0.422103665988573,0.940123776981476,NA
C9JLW8,ctrlH-Norm,-0.294651102083347,0.913675910858632,20.6051765104054,0.750331034951466,0.999843706217135,NA
C9JLW8,M-Norm,-1.04304122994077,0.746013257292099,20.6051765104054,0.176936581912003,0.99768989811509,NA
E9PAV3;Q13765,ctrlH-M,0.0415967348850366,0.485287071295391,19.6051776362994,0.932561735337854,0.998441172273122,NA
E9PAV3;Q13765,ctrlH-Norm,-0.251192342876507,0.485287071295391,19.6051776362994,0.610517789349813,0.999843706217135,NA
E9PAV3;Q13765,M-Norm,-0.292789077761544,0.396235234481117,19.6051776362993,0.468706150851336,0.99768989811509,NA
E9PRG8,ctrlH-M,-0.303717727442724,0.258121436764846,20.6051792396671,0.252751227239029,0.933647425157431,NA
E9PRG8,ctrlH-Norm,0.0510433843199207,0.258121436764846,20.6051792396633,0.845178890009653,0.999843706217135,NA
E9PRG8,M-Norm,0.354761111762644,0.210755270582649,20.6051792396652,0.107411406418023,0.99768989811509,NA
EBV_A0A0A8IKZ1,ctrlH-M,0.634014043026665,0.535250966796632,20.6051776999138,0.249691982707036,0.933647425157431,NA
EBV_A0A0A8IKZ1,ctrlH-Norm,0.320581793217067,0.535250966796632,20.6051776999138,0.555742958696596,0.999843706217135,NA
EBV_A0A0A8IKZ1,M-Norm,-0.313432249809598,0.43703058432771,20.6051776999171,0.481311016822997,0.99768989811509,NA
EBV_A0A0A8IL23,ctrlH-M,0.710405686975502,0.519816779761131,20.6051775063815,0.186464532843475,0.933647425157431,NA
EBV_A0A0A8IL23,ctrlH-Norm,0.341782912521664,0.519816779761131,20.6051775063815,0.518133509918233,0.999843706217135,NA
EBV_A0A0A8IL23,M-Norm,-0.368622774453838,0.424428623383824,20.6051775063746,0.395115940189689,0.99768989811509,NA
EBV_A0A0B6VN71,ctrlH-M,1.31064845375546,0.642170323034051,20.6051763556363,0.0542717804571378,0.933647425157431,NA
EBV_A0A0B6VN71,ctrlH-Norm,0.870996739710507,0.642170323034051,20.6051763556363,0.189670386009377,0.999843706217135,NA
EBV_A0A0B6VN71,M-Norm,-0.439651714044957,0.524329873130556,20.6051763556418,0.411370796675047,0.99768989811509,NA
EBV_A0A0C7SWT0,ctrlH-M,0.591091941754861,0.464610604135789,20.605177418763,0.217461730422818,0.933647425157431,NA
EBV_A0A0C7SWT0,ctrlH-Norm,0.270755344868251,0.464610604135789,20.605177418763,0.566380055104795,0.999843706217135,NA
EBV_A0A0C7SWT0,M-Norm,-0.320336596886611,0.379352969739637,20.605177418763,0.408127547148231,0.99768989811509,NA
EBV_A0A0C7SZ13;EBV_A0A0C7TGH1,ctrlH-M,0.902989151660503,0.46872344850781,20.6051775835456,0.0679498202239354,0.933647425157431,NA
EBV_A0A0C7SZ13;EBV_A0A0C7TGH1,ctrlH-Norm,1.33027657417053,0.46872344850781,20.6051775835456,0.00996912130173239,0.999843706217135,NA
EBV_A0A0C7SZ13;EBV_A0A0C7TGH1,M-Norm,0.427287422510032,0.38271109310728,20.6051775835417,0.277069635239948,0.99768989811509,NA
EBV_A0A0C7T1N3,ctrlH-M,1.04837223544082,0.748927691291809,20.6051780482282,0.176440474391938,0.933647425157431,NA
EBV_A0A0C7T1N3,ctrlH-Norm,0.337409247639819,0.748927691291809,20.6051780482282,0.657037992912514,0.999843706217135,NA
EBV_A0A0C7T1N3,M-Norm,-0.710962987801006,0.611496899301857,20.6051780482234,0.258256756503344,0.99768989811509,NA
EBV_A0A0C7T6W6,ctrlH-M,0.516201201443787,0.42437846588289,20.6051775647055,0.237594841503695,0.933647425157431,NA
EBV_A0A0C7T6W6,ctrlH-Norm,0.547932185058593,0.42437846588289,20.6051775647055,0.210952990129003,0.999843706217135,NA
EBV_A0A0C7T6W6,M-Norm,0.0317309836148061,0.346503566412733,20.6051775647055,0.927920343556555,0.99768989811509,NA
EBV_A0A0C7TGD9,ctrlH-M,0.619286387140498,0.660187140881709,10.605176955788,0.369092384978646,0.933647425157431,NA
EBV_A0A0C7TGD9,ctrlH-Norm,0.444762125807874,0.660187140881709,10.605176955788,0.514922095890393,0.999843706217135,NA
EBV_A0A0C7TGD9,M-Norm,-0.174524261332624,0.539040543302367,10.605176955788,0.752408411836834,0.99768989811509,NA
EBV_A0A0C7THW3,ctrlH-M,0.470432724826524,0.492424041539307,18.6051776218736,0.351654726233416,0.933647425157431,NA
EBV_A0A0C7THW3,ctrlH-Norm,0.449913427576402,0.501925059533745,18.6051776218717,0.381504184375094,0.999843706217135,NA
EBV_A0A0C7THW3,M-Norm,-0.0205192972501213,0.376443794650309,18.605177621873,0.957111290875381,0.99768989811509,NA
EBV_A0A0C7TLG9,ctrlH-M,0.787632783027762,0.65921789208035,20.6051766603685,0.245737626576198,0.933647425157431,NA
EBV_A0A0C7TLG9,ctrlH-Norm,1.09291118157387,0.65921789208035,20.6051766603685,0.112487013406171,0.999843706217135,NA
EBV_A0A0C7TLG9,M-Norm,0.305278398546111,0.538249154969989,20.6051766603739,0.576726619094593,0.99768989811509,NA
EBV_A0A0C7TLJ4,ctrlH-M,0.835735683837838,0.507723388918569,20.6051775047138,0.114923209278077,0.933647425157431,NA
EBV_A0A0C7TLJ4,ctrlH-Norm,0.181425025378272,0.507723388918569,20.6051775047138,0.724478272874286,0.999843706217135,NA
EBV_A0A0C7TLJ4,M-Norm,-0.654310658459566,0.41455441110905,20.6051775047138,0.12971562062627,0.99768989811509,NA
EBV_A0A0C7TLK8,ctrlH-M,0.485931360552238,0.489949848006452,20.6051771973468,0.332800805005563,0.933647425157431,NA
EBV_A0A0C7TLK8,ctrlH-Norm,0.747773335614564,0.489949848006452,20.6051771973468,0.142158364894257,0.999843706217135,NA
EBV_A0A0C7TLK8,M-Norm,0.261841975062326,0.400042375723327,20.6051771973468,0.520006706066193,0.99768989811509,NA
EBV_A0A0C7TNE4,ctrlH-M,0.390118136102059,0.573536561848238,20.6051772414267,0.503950985196077,0.951892711350805,NA
